"","harm","melody","index","beat_pos","duration","scale_deg","approaching","key","depart","ArrNum","DepNum","onOffBeat","ArrSkiSteLeap","DepSkiSteLeap","Prediction","Response"
"1","4i","16ff",11,"1",0.25,"3","[ff]","d","+M2",0,2,"onbeat","unison","step",0.670927435898348,1
"2","4i","16gg",12,"1.25",0.25,"4","+M2","d","+M2",2,2,"offbeat","step","step",0.39067442106658,0
"3","4i","16aa'",13,"1.5",0.25,"5","+M2","d","+m2",2,1,"offbeat","step","step",0.39067442106658,0
"4","4i","16bb-'",14,"1.75",0.25,"6","+m2","d","-m2",1,-1,"offbeat","step","step",0.39067442106658,0
"5","4vb","16aa'",15,"2",0.25,"5","-m2","d","-M2",-1,-2,"onbeat","step","step",0.559949642180402,1
"6","4vb","16gg'",16,"2.25",0.25,"4","-M2","d","-M2",-2,-2,"offbeat","step","step",0.39067442106658,0
"7","4vb","16ff'",17,"2.5",0.25,"3","-M2","d","-m2",-2,-1,"offbeat","step","step",0.39067442106658,0
"8","4vb","16ee'",18,"2.75",0.25,"2","-m2","d","-M2",-1,-2,"offbeat","step","step",0.39067442106658,0
"9","4VI","16dd",20,"1",0.25,"1","-M2","d","+M2",-2,2,"onbeat","step","step",0.559949642180402,1
"10","4VI","16ee",21,"1.25",0.25,"2","+M2","d","+m2",2,1,"offbeat","step","step",0.39067442106658,0
"11","4VI","16ff'",22,"1.5",0.25,"3","+m2","d","+M2",1,2,"offbeat","step","step",0.39067442106658,0
"12","4VI","16gg'",23,"1.75",0.25,"4","+M2","d","-M2",2,-2,"offbeat","step","step",0.39067442106658,0
"13","4ic","16ff'",24,"2",0.25,"3","-M2","d","-m2",-2,-1,"onbeat","step","step",0.559949642180402,1
"14","4ic","16ee'",25,"2.25",0.25,"2","-m2","d","-M2",-1,-2,"offbeat","step","step",0.39067442106658,0
"15","4ic","16dd'",26,"2.5",0.25,"1","-M2","d","-M2",-2,-2,"offbeat","step","step",0.39067442106658,0
"16","4ic","16cc'",27,"2.75",0.25,"7-","-M2","d","-M2",-2,-2,"offbeat","step","step",0.39067442106658,0
"17","4iv","16b-",29,"1",0.25,"6","-M2","d","+M2",-2,2,"onbeat","step","step",0.559949642180402,1
"18","4iv","16cc",30,"1.25",0.25,"7-","+M2","d","-M2",2,-2,"offbeat","step","step",0.39067442106658,0
"19","4iv","16b-'",31,"1.5",0.25,"6","-M2","d","-m2",-2,-1,"offbeat","step","step",0.39067442106658,0
"20","4iv","16a'",32,"1.75",0.25,"5","-m2","d","-M2",-1,-2,"offbeat","step","step",0.39067442106658,0
"21","4iio","16g'",33,"2",0.25,"4","-M2","d","+M2",-2,2,"onbeat","step","step",0.559949642180402,1
"22","4iio","16a'",34,"2.25",0.25,"5","+M2","d","+m2",2,1,"offbeat","step","step",0.39067442106658,0
"23","4iio","16b-'",35,"2.5",0.25,"6","+m2","d","+M2",1,2,"offbeat","step","step",0.39067442106658,0
"24","4iio","16cc'",36,"2.75",0.25,"7-","+M2","d","-m3",2,-3,"offbeat","step","leap",0.692752247568506,1
"25","2ib","16a",38,"1",0.25,"5","-m3","d","+m2",-3,1,"onbeat","leap","step",0.845898976968717,1
"26","2ib","16b-",39,"1.25",0.25,"6","+m2","d","-m2",1,-1,"offbeat","step","step",0.39067442106658,0
"27","2ib","16a'",40,"1.5",0.25,"5","-m2","d","-M2",-1,-2,"offbeat","step","step",0.39067442106658,0
"28","2ib","16g'",41,"1.75",0.25,"4","-M2","d","-M2",-2,-2,"offbeat","step","step",0.39067442106658,0
"29","2ib","16f'",42,"2",0.25,"3","-M2","d","+M2",-2,2,"onbeat","step","step",0.559949642180402,1
"30","2ib","16g'",43,"2.25",0.25,"4","+M2","d","-M2",2,-2,"offbeat","step","step",0.39067442106658,0
"31","2ib","16f'",44,"2.5",0.25,"3","-M2","d","-m2",-2,-1,"offbeat","step","step",0.39067442106658,0
